Visages et émotions	🤎	brown heart
Visages et émotions	🖤	black heart
Visages et émotions	🩶	grey heart
Visages et émotions	🤍	white heart
Visages et émotions	💋	kiss mark
Visages et émotions	💯	hundred points
Visages et émotions	💢	anger symbol
Visages et émotions	🫯	fight cloud
Visages et émotions	💥	collision
Visages et émotions	💫	dizzy
Visages et émotions	💦	sweat droplets
Visages et émotions	💨	dashing away
Visages et émotions	🕳️	hole
Visages et émotions	💬	speech balloon
Visages et émotions	👁️‍🗨️	eye in speech bubble
Visages et émotions	🗨️	left speech bubble
Visages et émotions	🗯️	right anger bubble
Visages et émotions	💭	thought balloon
Visages et émotions	💤	ZZZ
Personnes et corps	👋	waving hand
Personnes et corps	👋🏻	waving hand: light skin tone
Personnes et corps	👋🏼	waving hand: medium-light skin tone
Personnes et corps	👋🏽	waving hand: medium skin tone
Personnes et corps	👋🏾	waving hand: medium-dark skin tone
Personnes et corps	👋🏿	waving hand: dark skin tone
Personnes et corps	🤚	raised back of hand
Personnes et corps	🤚🏻	raised back of hand: light skin tone
Personnes et corps	🤚🏼	raised back of hand: medium-light skin tone
Personnes et corps	🤚🏽	raised back of hand: medium skin tone
Personnes et corps	🤚🏾	raised back of hand: medium-dark skin tone
Personnes et corps	🤚🏿	raised back of hand: dark skin tone
Personnes et corps	🖐️	hand with fingers splayed
Personnes et corps	🖐🏻	hand with fingers splayed: light skin tone
Personnes et corps	🖐🏼	hand with fingers splayed: medium-light skin tone
Personnes et corps	🖐🏽	hand with fingers splayed: medium skin tone
Personnes et corps	🖐🏾	hand with fingers splayed: medium-dark skin tone
Personnes et corps	🖐🏿	hand with fingers splayed: dark skin tone
Personnes et corps	✋	raised hand
Personnes et corps	✋🏻	raised hand: light skin tone
Personnes et corps	✋🏼	raised hand: medium-light skin tone
Personnes et corps	✋🏽	raised hand: medium skin tone
Personnes et corps	✋🏾	raised hand: medium-dark skin tone
Personnes et corps	✋🏿	raised hand: dark skin tone
Personnes et corps	🖖	vulcan salute
Personnes et corps	🖖🏻	vulcan salute: light skin tone
Personnes et corps	🖖🏼	vulcan salute: medium-light skin tone
Personnes et corps	🖖🏽	vulcan salute: medium skin tone
Personnes et corps	🖖🏾	vulcan salute: medium-dark skin tone
Personnes et corps	🖖🏿	vulcan salute: dark skin tone
Personnes et corps	🫱	rightwards hand
Personnes et corps	🫱🏻	rightwards hand: light skin tone
Personnes et corps	🫱🏼	rightwards hand: medium-light skin tone
Personnes et corps	🫱🏽	rightwards hand: medium skin tone
Personnes et corps	🫱🏾	rightwards hand: medium-dark skin tone
Personnes et corps	🫱🏿	rightwards hand: dark skin tone
Personnes et corps	🫲	leftwards hand
Personnes et corps	🫲🏻	leftwards hand: light skin tone
Personnes et corps	🫲🏼	leftwards hand: medium-light skin tone
Personnes et corps	🫲🏽	leftwards hand: medium skin tone
Personnes et corps	🫲🏾	leftwards hand: medium-dark skin tone
Personnes et corps	🫲🏿	leftwards hand: dark skin tone
Personnes et corps	🫳	palm down hand
Personnes et corps	🫳🏻	palm down hand: light skin tone
Personnes et corps	🫳🏼	palm down hand: medium-light skin tone
Personnes et corps	🫳🏽	palm down hand: medium skin tone
Personnes et corps	🫳🏾	palm down hand: medium-dark skin tone
Personnes et corps	🫳🏿	palm down hand: dark skin tone
Personnes et corps	🫴	palm up hand
Personnes et corps	🫴🏻	palm up hand: light skin tone
Personnes et corps	🫴🏼	palm up hand: medium-light skin tone
Personnes et corps	🫴🏽	palm up hand: medium skin tone
Personnes et corps	🫴🏾	palm up hand: medium-dark skin tone
Personnes et corps	🫴🏿	palm up hand: dark skin tone
Personnes et corps	🫷	leftwards pushing hand
Personnes et corps	🫷🏻	leftwards pushing hand: light skin tone
Personnes et corps	🫷🏼	leftwards pushing hand: medium-light skin tone
Personnes et corps	🫷🏽	leftwards pushing hand: medium skin tone
Personnes et corps	🫷🏾	leftwards pushing hand: medium-dark skin tone
Personnes et corps	🫷🏿	leftwards pushing hand: dark skin tone
Personnes et corps	🫸	rightwards pushing hand
Personnes et corps	🫸🏻	rightwards pushing hand: light skin tone
Personnes et corps	🫸🏼	rightwards pushing hand: medium-light skin tone
Personnes et corps	🫸🏽	rightwards pushing hand: medium skin tone
Personnes et corps	🫸🏾	rightwards pushing hand: medium-dark skin tone
Personnes et corps	🫸🏿	rightwards pushing hand: dark skin tone
Personnes et corps	👌	OK hand
Personnes et corps	👌🏻	OK hand: light skin tone
Personnes et corps	👌🏼	OK hand: medium-light skin tone
Personnes et corps	👌🏽	OK hand: medium skin tone
Personnes et corps	👌🏾	OK hand: medium-dark skin tone
Personnes et corps	👌🏿	OK hand: dark skin tone
Personnes et corps	🤌	pinched fingers
Personnes et corps	🤌🏻	pinched fingers: light skin tone
Personnes et corps	🤌🏼	pinched fingers: medium-light skin tone
Personnes et corps	🤌🏽	pinched fingers: medium skin tone
Personnes et corps	🤌🏾	pinched fingers: medium-dark skin tone
Personnes et corps	🤌🏿	pinched fingers: dark skin tone
Personnes et corps	🤏	pinching hand
Personnes et corps	🤏🏻	pinching hand: light skin tone
Personnes et corps	🤏🏼	pinching hand: medium-light skin tone
Personnes et corps	🤏🏽	pinching hand: medium skin tone
Personnes et corps	🤏🏾	pinching hand: medium-dark skin tone
Personnes et corps	🤏🏿	pinching hand: dark skin tone
Personnes et corps	✌️	victory hand
Personnes et corps	✌🏻	victory hand: light skin tone
Personnes et corps	✌🏼	victory hand: medium-light skin tone
Personnes et corps	✌🏽	victory hand: medium skin tone
Personnes et corps	✌🏾	victory hand: medium-dark skin tone
Personnes et corps	✌🏿	victory hand: dark skin tone
Personnes et corps	🤞	crossed fingers
Personnes et corps	🤞🏻	crossed fingers: light skin tone
Personnes et corps	🤞🏼	crossed fingers: medium-light skin tone
Personnes et corps	🤞🏽	crossed fingers: medium skin tone
Personnes et corps	🤞🏾	crossed fingers: medium-dark skin tone
Personnes et corps	🤞🏿	crossed fingers: dark skin tone
Personnes et corps	🫰	hand with index finger and thumb crossed
Personnes et corps	🫰🏻	hand with index finger and thumb crossed: light skin tone
Personnes et corps	🫰🏼	hand with index finger and thumb crossed: medium-light skin tone
Personnes et corps	🫰🏽	hand with index finger and thumb crossed: medium skin tone
Personnes et corps	🫰🏾	hand with index finger and thumb crossed: medium-dark skin tone
